['6809', '3', '1', '1', 'PublicTest'] 
['6812', '3', '1', '1', 'PublicTest'] 
['6813', '3', '1', '1', 'PublicTest'] 
['6814', '3', '1', '1', 'PublicTest'] 
['6815', '3', '1', '1', 'PublicTest'] 
['6816', '3', '1', '1', 'PublicTest'] 
['6817', '3', '1', '2', 'PublicTest'] 
['6818', '3', '1', '2', 'PublicTest'] 
['6820', '3', '1', '0', 'PublicTest'] 
['6821', '3', '1', '2', 'PublicTest'] 
['6822', '3', '1', '1', 'PublicTest'] 
['6823', '3', '1', '1', 'PublicTest'] 
['6824', '3', '1', '1', 'PublicTest'] 
['6825', '3', '1', '1', 'PublicTest'] 
['6826', '3', '1', '1', 'PublicTest'] 
['6827', '3', '1', '1', 'PublicTest'] 
['6829', '3', '1', '0', 'PublicTest'] 
['6830', '3', '1', '1', 'PublicTest'] 
['6831', '3', '1', '0', 'PublicTest'] 
['6832', '3', '1', '1', 'PublicTest'] 
['6833', '3', '1', '2', 'PublicTest'] 
['6834', '3', '1', '2', 'PublicTest'] 
['6835', '3', '1', '1', 'PublicTest'] 
['6837', '3', '1', '1', 'PublicTest'] 
['6839', '3', '1', '1', 'PublicTest'] 
['6840', '3', '1', '2', 'PublicTest'] 
['6841', '3', '1', '1', 'PublicTest'] 
['6842', '3', '1', '1', 'PublicTest'] 
['6844', '3', '1', '1', 'PublicTest'] 
['6845', '3', '1', '1', 'PublicTest'] 
['6847', '3', '1', '2', 'PublicTest'] 
['6852', '3', '1', '0', 'PublicTest'] 
['6854', '3', '1', '1', 'PublicTest'] 
['6856', '3', '1', '1', 'PublicTest'] 
['6857', '3', '1', '1', 'PublicTest'] 
['6859', '3', '1', '1', 'PublicTest'] 
['6861', '3', '1', '1', 'PublicTest'] 
['6863', '3', '1', '1', 'PublicTest'] 
['6864', '3', '1', '1', 'PublicTest'] 
['6866', '3', '1', '1', 'PublicTest'] 
['6869', '3', '1', '0', 'PublicTest'] 
['6870', '3', '1', '1', 'PublicTest'] 
['6871', '3', '1', '2', 'PublicTest'] 
['6873', '3', '1', '0', 'PublicTest'] 
['6875', '3', '1', '2', 'PublicTest'] 
['6876', '3', '1', '0', 'PublicTest'] 
['6877', '3', '1', '1', 'PublicTest'] 
['6878', '3', '1', '0', 'PublicTest'] 
['6880', '3', '1', '2', 'PublicTest'] 
['6883', '3', '1', '2', 'PublicTest'] 
['6884', '3', '1', '1', 'PublicTest'] 
